issue_key,summary,assignee,Story Points,Priority,To Do,In Progress,Blocked,Review,UAT,Ready To Deploy
PSD-8690,SF - Dev only:  EXT_SO page SF  - Not loading after submitting a Cloudlink  order[PSD-8546],Neeharika Polisetti,2.0,Medium,0.00,0.00,0.00,0.00,0.00,0.00
PSD-7940,Need to debug SF error,tincyrose.ct,2.0,Medium,0.00,34.18,0.00,0.00,0.00,0.00
PSD-7955,[SF] Add Read/View All Permissions to the Tasks Object,durwankur.shinde,2.0,Medium,0.28,6.66,0.00,0.00,6.11,0.36
PSD-7886,[SF Front Office] add a safety check in the Apex code before trying to delete a record that is already deleted,James Kirby,2.0,Medium,0.00,6.10,0.00,0.00,1.10,6.88
PSD-6424,[SF Dev] Push the Product & Product Category fields from TZ to the Product on the Quote Location,nadimint.kumar,5.0,Medium,0.93,7.76,55.24,0.00,6.90,7.11
PSD-7778,[SF Dev][Spike] DocuSign Status and DocuSign Recipient Status are missing after the API call to SFDC,Neeharika Polisetti,2.0,High,0.00,4.19,21.02,0.00,25.27,0.00
PSD-7151,[SF Config] Metro/Regional Field causing RBG and PG to show up as 'Error',Neeharika Polisetti,2.0,Medium,0.82,26.03,0.00,0.00,47.95,6.83
PSD-7123,[SF Config] Reactivate bandwidth options for Quotes,tincyrose.ct,3.0,Medium,0.00,12.16,0.00,0.00,21.15,60.97
PSD-7009,[SF Dev] Need fields updated in Service Order Form for Access Port + DynamicLink,neeharika.gattu,8.0,Medium,1.79,20.01,0.00,0.00,12.09,6.88
PSD-7790,Validation rule needs to be updated for Diversity requirement,Harshini Gattu,2.0,Medium,0.00,5.16,0.00,0.00,0.00,8.02
PSD-6945,[SF Dev] Push LAG and # of LAG Members from TZ to Quote Location,tincyrose.ct,5.0,High,7.66,4.42,0.00,0.00,0.00,0.00
PSD-7733,[SF Config] Sales is not able to create Opps out of Access Quotes,Harshini Gattu,3.0,Medium,0.90,3.10,0.00,0.00,0.00,0.00
PSD-7730,[SF Config] ICB Record Type ID is not valid for the user,Harshini Gattu,2.0,Medium,0.00,3.98,0.00,0.00,0.00,0.00
PSD-7731,[SF Config] Account Manager Notes field is not accessible to Account Managers!,Harshini Gattu,3.0,Medium,3.91,7.91,0.00,0.00,0.00,0.00
PSD-2732,"[SF Config] Modify Product Category Dependencies on Opptys, SOs + SOCs",Harshini Gattu,1.0,High,399.77,1.15,0.00,0.00,0.00,0.00
PSD-7140,[SF Config] Users are not able to see Service Order Components on the Packet Service Orders,Harshini Gattu,3.0,High,0.00,0.12,0.00,0.00,7.01,0.00
PSD-7717,"Add the ""Read"" Permission in SalesForce for the existing  Attribute Campus_Cross_Connect_Hub_Site__c",Harshini Gattu,1.0,Medium,0.00,0.00,0.00,0.00,0.00,0.99
PSD-6868,[SF Config] Limit the Service Item Descriptions for Access & DynamicLink,Harshini Gattu,3.0,High,3.21,4.05,0.00,0.00,1.03,4.86
